,vdiff,pe,choice,rt
0,-5.0,0.0,0.016946565209280007,1.3298106013964648
1,-5.0,1.0,0.016946565209280007,1.3298106013964648
2,-5.0,2.0,0.016946565209280007,1.3298106013964648
3,-5.0,3.0,0.016946565209280007,1.3298106013964648
4,-5.0,4.0,0.016946565209280007,1.3298106013964648
5,-5.0,5.0,0.016946607107611034,1.3298178866455301
6,-5.0,6.0,0.01696363747733988,1.3297229365840457
7,-5.0,7.0,0.017142951455611597,1.328667309548102
8,-5.0,8.0,0.01842377693040974,1.3210324471386947
9,-4.0,0.0,0.02844868833906283,1.4866129112458668
10,-4.0,1.0,0.02844868833906283,1.4866129112458668
11,-4.0,2.0,0.02844868833906283,1.4866129112458668
12,-4.0,3.0,0.02844868833906283,1.4866129112458668
13,-4.0,4.0,0.028453631871346387,1.4865967099496749
14,-4.0,5.0,0.028508725102494598,1.4863730298300073
15,-4.0,6.0,0.02876581713852018,1.4850947045772802
16,-4.0,7.0,0.02986635679771204,1.4795412917607338
17,-4.0,8.0,0.03450945784939252,1.4559327121354178
18,-3.0,0.0,0.05804794564831812,1.7034833056013832
19,-3.0,1.0,0.05804790521441696,1.7034770605247547
20,-3.0,2.0,0.05806015833094429,1.703470969788
21,-3.0,3.0,0.05811401376771316,1.7032378242921473
22,-3.0,4.0,0.058281875175289315,1.702476286968789
23,-3.0,5.0,0.05876338224494469,1.7000338739899843
24,-3.0,6.0,0.060157070945906346,1.6930199251482585
25,-3.0,7.0,0.06415957984689159,1.6727323709627535
26,-3.0,8.0,0.07564380207304433,1.6142978547351812
27,-2.0,0.0,0.12927849659347201,1.9837820813517892
28,-2.0,1.0,0.1293555376552534,1.9834095567981747
29,-2.0,2.0,0.12952362025568182,1.9824346548986576
30,-2.0,3.0,0.12988856949698957,1.9801604221228817
31,-2.0,4.0,0.13069483309368102,1.9752727709658557
32,-2.0,5.0,0.13244839221819452,1.964421759585835
33,-2.0,6.0,0.1362667872881345,1.9405863087092774
34,-2.0,7.0,0.14460124314591602,1.8885955138163482
35,-2.0,8.0,0.1627811159681737,1.7751358114685205
36,-1.0,0.0,0.27602649760867726,2.267645200556439
37,-1.0,1.0,0.27623916085835004,2.265514351917153
38,-1.0,2.0,0.2766189971664633,2.2612440904227062
39,-1.0,3.0,0.27732762186736637,2.253407508094419
40,-1.0,4.0,0.278642567141015,2.238925028319696
41,-1.0,5.0,0.28107545499841113,2.212094053254695
42,-1.0,6.0,0.28556073692059314,2.162269180449121
43,-1.0,7.0,0.29385746750082087,2.070148705257061
44,-1.0,8.0,0.30919964088205654,1.8998073766096817
45,0.0,0.0,0.49995030201689017,2.397601556510117
46,0.0,1.0,0.4999559154533248,2.393883708772206
47,0.0,2.0,0.4999569493278485,2.387157701648671
48,0.0,3.0,0.49995069421524646,2.375218533257306
49,0.0,4.0,0.4999577318262724,2.3545331220853254
50,0.0,5.0,0.4999559151017559,2.3180972089998266
51,0.0,6.0,0.4999559094982556,2.2543368522787253
52,0.0,7.0,0.4999578421187091,2.1427450626293654
53,0.0,8.0,0.4999615780054927,1.9474487793590098
54,1.0,0.0,0.7238748793773369,2.267645200556421
55,1.0,1.0,0.7236738427469712,2.265514351917138
56,1.0,2.0,0.723285010298325,2.2612440904226903
57,1.0,3.0,0.7225732816450049,2.2534075080944067
58,1.0,4.0,0.7212625782502861,2.2389250283196778
59,1.0,5.0,0.7188410487001566,2.2120940532546767
60,1.0,6.0,0.7143491194088001,2.162269180449106
61,1.0,7.0,0.7060493488793249,2.0701487052570497
62,1.0,8.0,0.6907083972769819,1.8998073766096761
63,2.0,0.0,0.870623619436304,1.9837820813518479
64,2.0,1.0,0.8705510838029271,1.9834095567982313
65,2.0,2.0,0.8703841969599403,1.9824346548987146
66,2.0,3.0,0.8700130167988959,1.9801604221229328
67,2.0,4.0,0.8692156183483148,1.9752727709659061
68,2.0,5.0,0.8674668284531686,1.964421759585882
69,2.0,6.0,0.8636427337210373,1.9405863087093185
70,2.0,7.0,0.8553105004279153,1.888595513816378
71,2.0,8.0,0.8371409820592853,1.775135811468536
72,3.0,0.0,0.9418530687072076,1.7034833056008531
73,3.0,1.0,0.9418523345212692,1.7034770605242207
74,3.0,2.0,0.9418447300176191,1.7034709697874681
75,3.0,3.0,0.9417909668401565,1.7032378242916135
76,3.0,4.0,0.9416281081556818,1.7024762869682564
77,3.0,5.0,0.9411398999214728,1.70003387398946
78,3.0,6.0,0.9397491387148948,1.6930199251477431
79,3.0,7.0,0.9357527130479942,1.6727323709622706
80,3.0,8.0,0.9242695326230815,1.614297854734767
81,4.0,0.0,0.9714520067677335,1.4866129112459143
82,4.0,1.0,0.9714520067677335,1.4866129112459143
83,4.0,2.0,0.9714520067677335,1.4866129112459143
84,4.0,3.0,0.9714520067677335,1.4866129112459143
85,4.0,4.0,0.9714480940456475,1.4865967099497248
86,4.0,5.0,0.9713987037146067,1.486373029830052
87,4.0,6.0,0.9711401421336068,1.4850947045773306
88,4.0,7.0,0.9700417221986143,1.4795412917607809
89,4.0,8.0,0.9654076545625432,1.45593271213546
90,5.0,0.0,0.9829538086714172,1.32981060139629
91,5.0,1.0,0.9829538086714172,1.32981060139629
92,5.0,2.0,0.9829538086714172,1.32981060139629
93,5.0,3.0,0.9829538086714172,1.32981060139629
94,5.0,4.0,0.9829538086714172,1.32981060139629
95,5.0,5.0,0.9829552904132457,1.3298178866453567
96,5.0,6.0,0.982941189827729,1.329722936583871
97,5.0,7.0,0.9827624665920157,1.3286673095479307
98,5.0,8.0,0.9814803437147362,1.3210324471385295
